packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
9.0,6.0,705.0,5652.0,1.0,0.0,0.0,4.0,2.0,4.0,229.0,5332.0,7.0,6.0,222.0,1438.0,222.0,1438.0,107.0,181.0,9.0,11.0,amazon-amazon-echo-dot-with-clock-gen3
9.0,6.0,705.0,5652.0,1.0,0.0,0.0,4.0,2.0,4.0,229.0,5332.0,9.0,9.0,222.0,1438.0,222.0,1438.0,107.0,181.0,15.0,17.0,amazon-amazon-echo-dot-with-clock-gen3
9.0,6.0,705.0,5652.0,1.0,0.0,0.0,4.0,2.0,4.0,229.0,5332.0,6.0,4.0,222.0,1438.0,222.0,1438.0,107.0,181.0,9.0,7.0,amazon-amazon-echo-dot-with-clock-gen3
9.0,6.0,796.0,4710.0,1.0,0.0,1.0,3.0,2.0,3.0,416.0,4458.0,48.0,38.0,409.0,1460.0,409.0,1538.0,201.0,36.0,82.0,74.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,10.0,1817.0,7153.0,1.0,1.0,1.0,5.0,4.0,6.0,1225.0,6741.0,79.0,90.0,202.0,1460.0,866.0,2920.0,328.0,911.0,89.0,94.0,amazon-amazon-echo-dot-with-clock-gen3
15.0,13.0,1964.0,6196.0,2.0,1.0,3.0,4.0,6.0,6.0,1332.0,5664.0,64.0,75.0,416.0,1460.0,540.0,1591.0,199.0,633.0,79.0,97.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,10.0,1777.0,7153.0,1.0,1.0,1.0,5.0,4.0,6.0,1225.0,6741.0,84.0,90.0,202.0,1460.0,866.0,2370.0,328.0,750.0,95.0,96.0,amazon-amazon-echo-dot-with-clock-gen3
19.0,18.0,1673.0,7400.0,3.0,4.0,1.0,5.0,7.0,11.0,881.0,6668.0,37.0,40.0,214.0,1460.0,321.0,1460.0,99.0,657.0,71.0,61.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,10.0,1817.0,7153.0,1.0,1.0,1.0,5.0,4.0,6.0,1225.0,6741.0,79.0,93.0,202.0,1460.0,866.0,2370.0,328.0,750.0,91.0,89.0,amazon-amazon-echo-dot-with-clock-gen3
20.0,18.0,4231.0,5496.0,2.0,5.0,3.0,4.0,7.0,11.0,3399.0,4764.0,75.0,73.0,417.0,96.0,1460.0,1460.0,545.0,593.0,83.0,86.0,amazon-amazon-echo-dot-with-clock-gen3
12.0,11.0,1378.0,6551.0,1.0,1.0,1.0,4.0,4.0,5.0,746.0,5971.0,62.0,65.0,222.0,1438.0,367.0,2876.0,124.0,958.0,164.0,151.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,11.0,1817.0,7500.0,1.0,1.0,1.0,6.0,4.0,7.0,1225.0,7048.0,81.0,87.0,202.0,1460.0,866.0,1460.0,328.0,476.0,91.0,100.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,11.0,1651.0,7052.0,1.0,1.0,1.0,6.0,4.0,7.0,1059.0,6600.0,78.0,82.0,202.0,1460.0,700.0,1460.0,258.0,528.0,85.0,96.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,11.0,1818.0,7267.0,1.0,1.0,1.0,6.0,4.0,7.0,1226.0,6815.0,81.0,83.0,202.0,1460.0,867.0,1460.0,329.0,498.0,89.0,96.0,amazon-amazon-echo-dot-with-clock-gen3
21.0,19.0,5993.0,5536.0,2.0,5.0,4.0,4.0,8.0,11.0,5121.0,4764.0,74.0,72.0,417.0,96.0,1460.0,1460.0,639.0,593.0,86.0,89.0,amazon-amazon-echo-dot-with-clock-gen3
23.0,21.0,7986.0,5616.0,2.0,5.0,6.0,4.0,10.0,11.0,7034.0,4764.0,62.0,59.0,417.0,96.0,1460.0,1460.0,631.0,593.0,75.0,84.0,amazon-amazon-echo-dot-with-clock-gen3
